512,640,21
512,704,21
384,704,21
320,704,21
256,704,21
192,704,21
128,704,21
704,704,21
896,704,21
960,704,21
1088,704,21
1152,704,21
192,640,21
256,640,21
320,640,21
384,576,21
512,576,21
704,512,21
768,512,21
832,512,21
960,512,21
1024,512,21
1024,576,21
896,640,21
768,640,21
576,704,21
640,704,21
768,704,21
960,640,21
1024,640,21
1088,640,21
1152,640,21
832,704,21
832,640,21
960,576,21
1088,576,21
1024,704,21
1088,512,21
768,832,21
1216,704,21
1280,704,21
1472,704,21
1600,640,21
1664,640,21
1728,640,21
1728,704,21
1664,704,21
1600,704,21
1536,704,21
1344,704,21
1472,640,21
1280,640,21
1344,640,21
1536,640,21
1856,704,21
1728,768,21
1472,832,21
1344,832,21
1216,832,21
1280,832,21
1408,768,21
1472,768,21
1536,768,21
1152,832,21
1600,768,21
1536,832,21
1664,768,21
1856,768,21
1856,832,21
1728,896,21
1600,896,21
1344,896,21
1472,896,21
1536,896,21
1728,832,21
1408,896,21
1664,832,21
1600,832,21
1664,896,21
1856,960,21
1856,896,21
1856,1024,21
1792,1024,21
1728,1024,21
1664,1024,21
1600,1024,21
1536,1024,21
1472,1024,21
1408,1024,21
1344,1024,21
1280,1024,21
1216,1024,21
1152,1024,21
1088,1024,21
1024,1024,21
960,1024,21
896,1024,21
832,1024,21
320,1024,21
256,1024,21
192,1024,21
128,1024,21
64,1024,21
0,1024,21
0,960,21
1408,832,21
1280,896,21
1216,896,21
1088,896,21
1024,832,21
960,896,21
896,832,21
832,896,21
768,896,21
704,896,21
704,832,21
640,832,21
640,896,21
576,896,21
576,832,21
448,832,21
448,896,21
512,896,21
512,832,21
384,832,21
320,768,21
384,768,21
256,768,21
192,768,21
192,832,21
192,896,21
128,768,21
0,896,21
0,832,21
0,768,21
0,704,21
0,640,21
0,576,21
0,512,21
0,448,21
0,384,21
0,320,21
0,64,21
0,128,21
0,192,21
0,256,21
0,0,21
128,0,21
192,0,21
256,0,21
320,0,21
384,0,21
448,0,21
512,0,21
576,0,21
640,0,21
704,0,21
768,0,21
832,0,21
896,0,21
960,0,21
1024,0,21
1088,0,21
1152,0,21
1216,0,21
1280,0,21
1344,0,21
1408,0,21
1472,0,21
1536,0,21
1600,0,21
1664,0,21
1728,0,21
1792,0,21
1856,0,21
1856,64,21
1856,128,21
1856,192,21
1856,256,21
1856,320,21
1856,384,21
1856,448,21
1856,512,21
1856,576,21
1856,640,21
1728,128,21
1728,192,21
1728,256,21
1728,384,21
1728,448,21
1728,512,21
1664,576,21
1664,512,21
1664,448,21
1664,384,21
1728,576,21
1600,576,21
1600,448,21
1664,320,21
1664,256,21
1664,192,21
1664,128,21
1600,128,21
1600,192,21
1600,256,21
1600,320,21
1600,384,21
1536,128,21
1536,192,21
1536,256,21
1536,320,21
1536,384,21
1472,448,21
1472,512,21
1472,576,21
1536,576,21
1536,512,21
1536,448,21
1472,128,21
1472,192,21
1472,256,21
1472,320,21
1472,384,21
1600,512,21
1408,256,21
1408,192,21
1408,128,21
1344,128,21
1344,192,21
1344,320,21
1344,384,21
1344,448,21
1344,512,21
1344,576,21
1280,576,21
1216,576,21
1216,640,21
1216,512,21
1280,512,21
1280,448,21
1216,448,21
1280,384,21
1280,320,21
1280,192,21
1280,128,21
1216,128,21
1216,192,21
1216,320,21
1216,384,21
1152,192,21
1152,128,21
1152,320,21
1152,384,21
1152,448,21
1152,512,21
1152,576,21
1088,448,21
1088,384,21
1088,320,21
1088,192,21
1088,128,21
1024,128,21
1024,192,21
1024,320,21
1024,384,21
1024,448,21
960,128,21
960,192,21
960,320,21
960,384,21
960,448,21
896,448,21
896,384,21
896,320,21
896,192,21
832,128,21
832,192,21
832,320,21
832,384,21
832,448,21
832,576,21
896,576,21
896,512,21
896,128,21
768,128,21
768,192,21
768,320,21
768,384,21
768,448,21
704,448,21
704,576,21
768,576,21
640,640,21
640,576,21
704,640,21
640,512,21
640,448,21
704,384,21
704,320,21
640,320,21
640,128,21
576,192,21
704,192,21
704,128,21
640,192,21
640,384,21
576,448,21
576,384,21
512,384,21
512,320,21
576,320,21
320,576,21
320,512,21
320,384,21
384,384,21
384,256,21
384,192,21
384,128,21
320,192,21
320,256,21
256,320,21
256,448,21
192,576,21
192,448,21
192,320,21
256,192,21
320,128,21
256,128,21
128,512,21
128,640,21
128,576,21
192,512,21
256,512,21
256,576,21
384,640,21
576,640,21
576,576,21
576,512,21
512,448,21
512,512,21
384,512,21
384,448,21
320,448,21
256,384,21
192,384,21
128,448,21
128,384,21
128,320,21
128,256,21
192,256,21
192,192,21
192,128,21
64,0,21
128,128,21
128,192,21
576,128,21
512,128,21
448,192,21
448,128,21
448,256,21
512,192,21
384,320,21
320,320,21
256,256,21
1024,896,85
1088,832,85
1152,896,85
960,832,85
896,896,85
832,832,85
832,960,39
896,960,39
960,960,39
1024,960,39
1088,960,39
1152,960,39
832,768,3
896,768,3
960,768,3
1024,768,3
1088,768,3
1152,768,3
512,768,3
576,768,3
640,768,3
704,768,3
768,768,3
1344,64,3
1280,64,3
512,64,3
576,64,3
640,64,3
704,64,3
768,64,3
832,64,3
960,64,3
1024,64,3
1088,64,3
1152,64,3
1216,64,3
896,64,3
768,1024,21
704,1024,21
640,1024,21
576,1024,21
512,1024,21
448,1024,21
384,1024,21
448,768,21
128,832,21
128,896,21
512,960,39
576,960,39
640,960,39
704,960,39
768,960,39
1344,256,39
1280,256,39
1216,256,39
1152,256,39
1088,256,39
1024,256,39
960,256,39
896,256,39
832,256,39
768,256,39
704,256,39
640,256,39
576,256,39
512,256,39
1344,960,39
1280,960,39
1216,960,39
1344,768,3
1280,768,3
1216,768,3
64,960,23
1792,960,24
64,64,5
1792,64,6
1728,320,21
256,832,21
320,832,21
384,896,21
320,896,21
256,896,21
1792,896,22
1792,832,22
1792,768,22
1792,704,22
1792,640,22
1792,576,22
1792,512,22
1792,448,22
1792,384,22
1792,320,22
1792,256,22
1792,192,22
1792,128,22
1408,960,39
1472,960,39
1536,960,39
1600,960,39
1664,960,39
1728,960,39
448,960,39
384,960,39
320,960,39
256,960,39
192,960,39
128,960,39
128,64,3
192,64,3
256,64,3
320,64,3
384,64,3
448,64,3
1408,64,3
1472,64,3
1536,64,3
1600,64,3
1664,64,3
1728,64,3
1408,320,6
448,320,5
448,704,23
1408,704,24
64,128,20
64,192,20
64,256,20
64,320,20
64,384,20
64,448,20
64,512,20
64,576,20
64,640,20
64,768,20
64,704,20
64,832,20
64,896,20
448,640,20
448,576,20
448,512,20
448,448,20
448,384,20
1408,640,22
1408,576,22
1408,512,22
1408,448,22
1408,384,22
